REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT
2/25/18 20:21,EVENING,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1
6/29/18 14:45,DAY,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1
3/17/18 17:23,EVENING,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF F STREET NW,1
2/28/18 20:48,EVENING,ROBBERY,OTHERS,1300 - 1399 BLOCK OF PENNSYLVANIA AVENUE NW,1
3/12/18 11:41,DAY,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF G STREET NW,1
3/17/18 21:54,EVENING,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF G STREET NW,1
4/3/18 19:47,EVENING,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1
3/21/18 16:34,EVENING,THEFT/OTHER,OTHERS,1400 - 1499 BLOCK OF I STREET NW,2
4/6/18 0:06,MIDNIGHT,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF PENNSYLVANIA AVENUE NW,1
4/7/18 14:52,DAY,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF F STREET NW,1
4/8/18 23:09,MIDNIGHT,SEX ABUSE,OTHERS,800 - 899 BLOCK OF 14TH STREET NW,1
5/10/18 13:58,DAY,THEFT/OTHER,OTHERS,1400 - 1499 BLOCK OF PENNSYLVANIA AVENUE NW,2
5/3/18 21:09,EVENING,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF G STREET NW,1
5/1/18 14:38,DAY,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF F STREET NW,1
5/12/18 13:54,DAY,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF G STREET NW,1
5/15/18 11:29,DAY,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1
5/7/18 18:14,EVENING,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF G STREET NW,1
5/26/18 0:01,MIDNIGHT,THEFT/OTHER,OTHERS,500 - 599 BLOCK OF 14TH STREET NW,1
