FID,fire_zone_type,place_fips,place_name,neighborhood,x,y
8704636,SRA,59346,Ramona CDP,,-116.8636138,33.06899334
8704637,SRA,59346,Ramona CDP,,-116.8722499,33.07193539
8704638,SRA,59346,Ramona CDP,,-116.8387265,33.093401
8704639,SRA,59346,Ramona CDP,,-116.8373415,33.08335635
8704640,SRA,59346,Ramona CDP,,-116.8349384,33.08454777
8704641,SRA,59346,Ramona CDP,,-116.844177,33.07543
8704642,SRA,59346,Ramona CDP,,-116.8328636,33.08080946
8704643,,59346,Ramona CDP,,-116.8465611,33.06702071
8704644,SRA,59346,Ramona CDP,,-116.8458271,33.07221197
8704650,SRA,59346,Ramona CDP,,-116.883809,33.0574805
8704651,SRA,59346,Ramona CDP,,-116.8752124,33.05609571
8704652,SRA,59346,Ramona CDP,,-116.879438,33.0578655
8704653,SRA,59346,Ramona CDP,,-116.8763597,33.0600585
8704654,LRA,59346,Ramona CDP,,-116.878914,33.0470535
8704655,,59346,Ramona CDP,,-116.870479,33.0472635
8704656,,59346,Ramona CDP,,-116.8687652,33.04919668
8704657,,59346,Ramona CDP,,-116.8716205,33.04994271
8704658,,59346,Ramona CDP,,-116.8695942,33.05059364
8704659,,59346,Ramona CDP,,-116.870521,33.05051383
8704660,,59346,Ramona CDP,,-116.8583582,33.04605738
8704661,LRA,59346,Ramona CDP,,-116.8568069,33.04669997
8704662,LRA,59346,Ramona CDP,,-116.8590731,33.04828668
8704663,,59346,Ramona CDP,,-116.8927115,33.0407065
8704664,,59346,Ramona CDP,,-116.8848193,33.0430483
8704665,LRA,59346,Ramona CDP,,-116.8936369,33.04403221
8704666,,59346,Ramona CDP,,-116.8898867,33.029969
8704667,,59346,Ramona CDP,,-116.8913247,33.03472548
8704668,,59346,Ramona CDP,,-116.8808421,33.02720225
8704669,,59346,Ramona CDP,,-116.8759353,33.02866907
8704670,,59346,Ramona CDP,,-116.8751735,33.03181243
8704671,,59346,Ramona CDP,,-116.8730385,33.033576
8704672,,59346,Ramona CDP,,-116.8706121,33.03710258
8704673,,59346,Ramona CDP,,-116.8658475,33.03892066
8704674,,59346,Ramona CDP,,-116.8697144,33.04088183
8704675,,59346,Ramona CDP,,-116.8674425,33.042096
8704676,,59346,Ramona CDP,,-116.859092,33.038917
8704677,,59346,Ramona CDP,,-116.8515575,33.041227
8704678,,59346,Ramona CDP,,-116.8572213,33.04226048
8704679,,59346,Ramona CDP,,-116.8605703,33.04292005
8704680,SRA,59346,Ramona CDP,,-116.8520495,33.04345615
8704681,LRA,59346,Ramona CDP,,-116.8557362,33.04505079
8704682,,59346,Ramona CDP,,-116.8672297,33.03392193
